                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                  1.552,                 1.1629,                  1.333,                0.68522,                0.69572,                0.72626,                0.37029,                  1.928,                 1.2594,                 1.4545,             0.00056911,             0.00056911,             0.00056911
                     34,                 1.5369,                   1.11,                 1.3326,                0.79881,                0.67415,                0.76164,                0.37552,                 2.0019,                 1.2388,                   1.44,             0.00056086,             0.00056086,             0.00056086
                     35,                 1.5279,                 1.1083,                 1.3147,                0.79213,                0.72024,                0.76426,                0.37608,                 1.9209,                 1.2246,                 1.4594,             0.00055261,             0.00055261,             0.00055261
                     36,                 1.5074,                 1.1084,                 1.3193,                0.73765,                  0.715,                0.75671,                  0.383,                 1.9424,                 1.2105,                 1.4303,             0.00054437,             0.00054437,             0.00054437
                     37,                 1.4963,                  1.066,                 1.2945,                0.71299,                0.67423,                0.73779,                 0.3659,                 1.9994,                 1.2158,                 1.4786,             0.00053612,             0.00053612,             0.00053612
                     38,                 1.5126,                 1.0995,                 1.3061,                0.68637,                0.70696,                0.72011,                0.35406,                 2.0132,                 1.2158,                 1.4751,             0.00052787,             0.00052787,             0.00052787
                     39,                 1.4857,                 1.0806,                 1.3024,                0.68553,                 0.7295,                0.74976,                0.38378,                 1.9363,                 1.2174,                 1.4473,             0.00051963,             0.00051963,             0.00051963
                     40,                 1.4746,                 1.0495,                  1.286,                0.73992,                0.72552,                0.76237,                0.39955,                 1.9072,                 1.2025,                 1.4525,             0.00051138,             0.00051138,             0.00051138
                     41,                 1.4934,                 1.0657,                    1.3,                0.79344,                 0.6764,                0.72961,                0.36308,                  2.013,                 1.2843,                 1.4655,             0.00050313,             0.00050313,             0.00050313
                     42,                 1.4633,                 1.0498,                 1.2823,                0.69423,                0.67763,                0.71781,                0.35523,                  2.012,                 1.3228,                 1.4565,             0.00049489,             0.00049489,             0.00049489
                     43,                 1.4603,                 1.0291,                 1.2796,                0.72243,                0.70807,                0.74463,                0.36287,                 1.9905,                 1.2624,                 1.4648,             0.00048664,             0.00048664,             0.00048664
                     44,                 1.4391,                 1.0008,                 1.2688,                 0.6973,                0.72051,                0.73265,                0.37163,                  1.933,                 1.1892,                 1.4475,             0.00047839,             0.00047839,             0.00047839
                     45,                 1.4335,                0.98171,                 1.2603,                0.68337,                0.70293,                0.72654,                0.35325,                  1.998,                  1.269,                  1.486,             0.00047015,             0.00047015,             0.00047015
                     46,                 1.4178,                0.98555,                 1.2633,                0.73136,                0.67877,                0.73827,                 0.3823,                 1.9637,                 1.2055,                 1.4809,              0.0004619,              0.0004619,              0.0004619
                     47,                 1.4148,                0.96378,                 1.2603,                0.69422,                0.74152,                0.75125,                 0.3804,                  1.934,                 1.2305,                 1.4796,             0.00045365,             0.00045365,             0.00045365
                     48,                 1.4117,                 0.9645,                  1.271,                 0.6359,                0.75531,                0.75232,                0.39294,                 1.9445,                  1.173,                 1.4656,             0.00044541,             0.00044541,             0.00044541
                     49,                 1.3961,                0.94581,                 1.2513,                0.71905,                0.68504,                0.73887,                0.38173,                 1.9487,                 1.2055,                 1.4372,             0.00043716,             0.00043716,             0.00043716
                     50,                 1.4037,                0.95045,                 1.2425,                0.70734,                0.75307,                0.75993,                0.38198,                 1.9521,                 1.1633,                  1.459,             0.00042891,             0.00042891,             0.00042891
                     51,                 1.3925,                0.95867,                 1.2446,                0.79129,                0.70618,                0.77105,                0.40215,                 1.9304,                 1.1606,                 1.4519,             0.00042066,             0.00042066,             0.00042066
                     52,                 1.3806,                0.92319,                   1.24,                  0.697,                0.74337,                0.76172,                0.37884,                 1.9545,                 1.1377,                 1.4925,             0.00041242,             0.00041242,             0.00041242
                     53,                 1.3576,                0.90128,                 1.2186,                 0.7143,                0.69765,                0.73783,                0.38184,                 1.9231,                 1.1822,                 1.4715,             0.00040417,             0.00040417,             0.00040417
                     54,                 1.3595,                0.90238,                 1.2296,                0.70446,                0.71506,                0.74132,                0.37808,                 1.9714,                 1.1352,                 1.4876,             0.00039592,             0.00039592,             0.00039592
                     55,                  1.346,                0.88226,                 1.2147,                0.76716,                0.70252,                0.74965,                0.37082,                   1.99,                 1.1651,                 1.5062,             0.00038768,             0.00038768,             0.00038768
                     56,                 1.3554,                0.88184,                 1.2152,                0.77316,                0.68149,                0.74513,                0.37571,                 2.0063,                  1.144,                 1.4982,             0.00037943,             0.00037943,             0.00037943
                     57,                 1.3304,                0.88033,                 1.1969,                0.75576,                0.70417,                0.75493,                 0.3807,                 2.0338,                 1.1946,                 1.5283,             0.00037118,             0.00037118,             0.00037118
                     58,                 1.3057,                0.86673,                 1.2001,                 0.6883,                0.73978,                0.75043,                0.37974,                 1.9955,                 1.1798,                 1.4999,             0.00036294,             0.00036294,             0.00036294
                     59,                 1.3237,                0.86073,                 1.2008,                0.73486,                0.72814,                0.76046,                0.38699,                  1.969,                 1.1843,                 1.4852,             0.00035469,             0.00035469,             0.00035469
                     60,                 1.2898,                0.84531,                 1.1873,                0.71529,                0.72912,                0.75732,                0.38617,                 1.9468,                 1.1055,                 1.4883,             0.00034644,             0.00034644,             0.00034644
                     61,                  1.297,                0.82968,                   1.18,                0.74449,                0.71845,                0.75512,                 0.3741,                 2.0101,                 1.1536,                 1.5018,              0.0003382,              0.0003382,              0.0003382
                     62,                  1.281,                0.85204,                 1.1792,                0.72296,                0.73689,                0.75929,                0.38093,                 2.0056,                 1.1386,                  1.479,             0.00032995,             0.00032995,             0.00032995
                     63,                 1.2741,                0.82217,                 1.1764,                0.77154,                0.73292,                0.77016,                0.39069,                 1.9596,                 1.1216,                 1.4529,              0.0003217,              0.0003217,              0.0003217
                     64,                 1.2621,                 0.8038,                 1.1718,                0.75441,                0.73242,                0.75804,                0.38779,                 1.9621,                  1.121,                 1.4834,             0.00031346,             0.00031346,             0.00031346
                     65,                 1.2408,                0.80083,                 1.1635,                0.73629,                0.74797,                0.75664,                0.38517,                 1.9907,                 1.1452,                 1.5171,             0.00030521,             0.00030521,             0.00030521
                     66,                 1.2513,                0.80288,                 1.1527,                0.76932,                 0.6987,                0.75904,                0.39889,                 1.9609,                   1.13,                 1.4878,             0.00029696,             0.00029696,             0.00029696
                     67,                 1.2484,                0.79058,                 1.1611,                 0.7511,                 0.7279,                0.74826,                0.38106,                 2.0213,                 1.1173,                 1.5349,             0.00028872,             0.00028872,             0.00028872
                     68,                 1.2388,                0.77529,                 1.1561,                  0.788,                0.69603,                0.74842,                 0.3769,                 1.9957,                 1.1534,                 1.5221,             0.00028047,             0.00028047,             0.00028047
                     69,                 1.2001,                0.77672,                 1.1379,                0.75366,                0.71902,                0.74755,                0.38647,                 1.9704,                 1.1358,                   1.53,             0.00027222,             0.00027222,             0.00027222
                     70,                 1.2134,                 0.7733,                 1.1512,                0.74812,                0.70541,                0.75198,                0.38415,                 2.0005,                 1.1211,                 1.5258,             0.00026398,             0.00026398,             0.00026398
                     71,                 1.2044,                 0.7388,                 1.1306,                0.72136,                0.74503,                0.76329,                 0.3884,                 1.9565,                 1.1125,                  1.493,             0.00025573,             0.00025573,             0.00025573
                     72,                 1.1954,                0.74955,                 1.1314,                0.75628,                0.73223,                0.77127,                0.39083,                 1.9719,                  1.088,                  1.494,             0.00024748,             0.00024748,             0.00024748
                     73,                 1.1941,                0.73977,                  1.135,                0.79576,                0.72876,                0.77156,                0.40273,                 1.9492,                 1.0603,                 1.5082,             0.00023924,             0.00023924,             0.00023924
                     74,                  1.174,                0.72531,                 1.1208,                0.77427,                0.71077,                0.77661,                0.39628,                 1.9851,                 1.0487,                 1.5253,             0.00023099,             0.00023099,             0.00023099
                     75,                  1.155,                0.72277,                 1.1174,                0.75684,                0.72874,                0.76483,                0.39453,                 2.0072,                 1.0711,                  1.543,             0.00022274,             0.00022274,             0.00022274
                     76,                 1.1505,                0.70976,                 1.1223,                0.76921,                0.73043,                0.76508,                0.39325,                 2.0235,                 1.1197,                 1.5499,              0.0002145,              0.0002145,              0.0002145
                     77,                 1.1522,                0.71003,                 1.1018,                0.74738,                0.74923,                0.77252,                0.39252,                 1.9987,                 1.0698,                 1.5584,             0.00020625,             0.00020625,             0.00020625
                     78,                 1.1468,                0.70181,                 1.1063,                0.76329,                 0.7155,                0.75877,                0.38679,                 2.0114,                 1.0721,                 1.5509,               0.000198,               0.000198,               0.000198
                     79,                 1.1279,                0.69874,                 1.1004,                0.77236,                0.68972,                0.73411,                0.37373,                 2.0571,                 1.1393,                  1.591,             0.00018976,             0.00018976,             0.00018976
                     80,                 1.1198,                0.69154,                 1.0878,                0.77559,                0.68908,                0.75088,                0.37954,                  1.991,                   1.07,                  1.552,             0.00018151,             0.00018151,             0.00018151
                     81,                 1.1283,                0.70125,                 1.0977,                0.68571,                0.70127,                0.72319,                0.37886,                 1.9892,                 1.0974,                 1.5344,             0.00017326,             0.00017326,             0.00017326
                     82,                 1.1165,                0.68386,                 1.0914,                0.80769,                0.69166,                0.75967,                0.38889,                 1.9664,                 1.0547,                 1.5242,             0.00016502,             0.00016502,             0.00016502
                     83,                  1.107,                0.68102,                 1.0968,                 0.7482,                0.73705,                0.76345,                0.39345,                 2.0006,                 1.0796,                  1.539,             0.00015677,             0.00015677,             0.00015677
                     84,                 1.1091,                0.67785,                 1.0894,                 0.7811,                0.72094,                0.77249,                 0.3923,                 1.9741,                  1.041,                 1.5365,             0.00014852,             0.00014852,             0.00014852
                     85,                   1.08,                0.66706,                 1.0732,                0.72585,                0.74795,                0.75737,                0.39909,                 1.9933,                 1.0507,                 1.5374,             0.00014028,             0.00014028,             0.00014028
                     86,                 1.0815,                0.65733,                 1.0693,                 0.7765,                0.69489,                0.74268,                0.38553,                 1.9903,                 1.0634,                 1.5322,             0.00013203,             0.00013203,             0.00013203
                     87,                 1.0666,                 0.6563,                 1.0581,                0.74398,                0.71675,                0.74426,                0.39019,                 2.0001,                 1.0631,                 1.5711,             0.00012378,             0.00012378,             0.00012378
                     88,                 1.0677,                0.64904,                 1.0689,                0.69574,                0.73064,                0.74813,                0.38634,                 1.9941,                 1.0801,                 1.5657,             0.00011554,             0.00011554,             0.00011554
                     89,                 1.0671,                0.64648,                 1.0668,                0.76237,                0.72126,                0.74235,                 0.3927,                 1.9766,                 1.0858,                 1.5584,             0.00010729,             0.00010729,             0.00010729
                     90,                  1.154,                0.64052,                  1.076,                0.75591,                 0.7138,                0.76209,                0.39284,                 1.9422,                 1.0795,                 1.5373,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                  1.092,                0.58811,                 1.0383,                0.76374,                0.70684,                0.75427,                0.39616,                 1.9572,                 1.1071,                 1.5453,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                 1.0683,                0.57845,                 1.0293,                0.75696,                0.72488,                0.76205,                 0.4026,                 1.9592,                 1.0432,                 1.5431,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                 1.0338,                0.56105,                 1.0169,                0.79857,                0.70232,                0.76142,                0.40215,                 1.9614,                  1.077,                 1.5516,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                 1.0397,                0.55986,                 1.0145,                 0.7443,                0.75251,                 0.7652,                0.40269,                 1.9761,                 1.0808,                 1.5572,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                 1.0175,                0.55326,                 1.0052,                0.74748,                0.72251,                 0.7598,                0.39844,                 1.9666,                 1.0788,                 1.5698,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                 1.0142,                0.54734,                0.99751,                0.73504,                0.75996,                0.76893,                0.40427,                 1.9757,                 1.0675,                 1.5531,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.99969,                0.54378,                 1.0026,                0.81907,                0.71418,                0.76895,                0.40655,                 1.9635,                 1.0442,                 1.5683,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.99016,                 0.5325,                0.99401,                0.80984,                0.71333,                0.76859,                0.40186,                 1.9664,                 1.0462,                 1.5825,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.98441,                0.53348,                0.99412,                0.78911,                0.70578,                0.76579,                 0.4027,                 1.9795,                 1.0461,                 1.5952,             2.4823e-05,             2.4823e-05,             2.4823e-05
