                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0748,                0.67662,                 1.0696,                0.75481,                 0.7359,                0.76484,                0.39478,                  2.013,                 1.0628,                 1.5746,             0.00028872,             0.00028872,             0.00028872
                     35,                 1.0527,                0.64565,                 1.0527,                0.79069,                0.73457,                0.79002,                0.38917,                 2.0185,                 1.0427,                 1.5913,             0.00027222,             0.00027222,             0.00027222
                     36,                 1.0529,                0.64348,                 1.0521,                0.76707,                0.74853,                0.76703,                0.39705,                 2.0193,                 1.0728,                 1.5863,             0.00025573,             0.00025573,             0.00025573
                     37,                 1.0389,                0.63557,                 1.0454,                 0.7791,                0.74236,                0.77514,                0.39502,                 1.9845,                 1.0171,                 1.5633,             0.00023924,             0.00023924,             0.00023924
                     38,                 1.0276,                0.61602,                 1.0395,                0.80253,                0.71868,                0.78079,                 0.3838,                 2.0485,                 1.0569,                 1.6113,             0.00022274,             0.00022274,             0.00022274
                     39,                 1.0112,                0.62354,                 1.0362,                0.77939,                0.73652,                0.77586,                0.40473,                 1.9811,                 1.0351,                 1.5739,             0.00020625,             0.00020625,             0.00020625
                     40,                 1.0497,                0.59004,                 1.0124,                0.75523,                0.68143,                0.74445,                0.36918,                 2.0854,                 1.1551,                 1.6605,             0.00018976,             0.00018976,             0.00018976
                     41,                 1.0107,                0.54957,                0.99959,                0.76158,                 0.7244,                0.77057,                0.39757,                 1.9541,                 1.0119,                 1.5875,             0.00017326,             0.00017326,             0.00017326
                     42,                 1.0006,                0.54575,                0.98935,                0.74972,                0.72074,                0.75945,                0.39463,                 1.9956,                  1.055,                 1.5946,             0.00015677,             0.00015677,             0.00015677
                     43,                0.96732,                0.51108,                0.97931,                0.79032,                0.68514,                0.76125,                0.38845,                 1.9982,                 1.0549,                 1.5877,             0.00014028,             0.00014028,             0.00014028
                     44,                0.95241,                 0.5085,                0.97339,                0.78048,                0.70948,                0.76508,                0.39019,                 2.0108,                 1.0647,                 1.5973,             0.00012378,             0.00012378,             0.00012378
                     45,                0.94454,                0.52025,                0.96277,                 0.7698,                0.69195,                0.76127,                0.39945,                 1.9847,                 1.0598,                    1.6,             0.00010729,             0.00010729,             0.00010729
                     46,                0.94394,                0.51482,                0.96161,                0.80021,                0.69012,                0.76766,                0.40313,                 1.9647,                 1.0359,                 1.5846,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                0.91558,                0.50018,                0.95364,                0.79634,                0.69927,                  0.776,                0.40171,                 1.9588,                 1.0235,                 1.5932,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                0.91885,                0.49599,                  0.949,                0.79048,                0.69993,                0.77059,                0.39997,                 1.9668,                 1.0303,                 1.5917,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                0.91562,                0.49544,                0.95797,                0.80199,                0.69534,                0.76717,                0.40607,                 1.9739,                 1.0172,                 1.6094,             4.1317e-05,             4.1317e-05,             4.1317e-05
